,views
2016-03-23,274.128787
2016-03-24,275.701143
2016-03-25,270.870821
2016-03-26,265.077454
2016-03-27,282.050904
2016-03-28,297.127542
2016-03-29,293.126836
2016-03-30,287.588313
2016-03-31,280.453014
2016-04-01,282.040486
2016-04-02,327.251629
2016-04-03,359.114588
2016-04-04,345.016011
2016-04-05,353.30768
2016-04-06,355.058066
2016-04-07,288.426116
2016-04-08,281.833846
2016-04-09,271.472693
2016-04-10,288.902872
2016-04-11,301.643469
2016-04-12,293.714454
2016-04-13,295.643348
2016-04-14,294.916381
2016-04-15,274.987232
2016-04-16,259.28445
2016-04-17,280.435583
2016-04-18,301.547803
2016-04-19,294.577437
2016-04-20,293.295773
2016-04-21,304.883241
2016-04-22,292.187203
2016-04-23,274.347732
2016-04-24,293.429524
2016-04-25,305.126383
2016-04-26,292.830009
2016-04-27,293.148892
2016-04-28,291.544151
2016-04-29,278.73347
2016-04-30,264.208051
2016-05-01,277.225161
2016-05-02,298.173849
2016-05-03,296.286403
2016-05-04,293.119439
2016-05-05,285.947932
2016-05-06,284.471514
2016-05-07,272.564834
2016-05-08,286.315126
2016-05-09,300.055738
2016-05-10,303.983209
2016-05-11,297.359556
2016-05-12,284.445901
2016-05-13,275.228338
2016-05-14,262.282628
2016-05-15,283.663874
2016-05-16,298.081584
2016-05-17,293.516517
2016-05-18,294.611751
2016-05-19,287.091725
2016-05-20,271.528013
2016-05-21,273.177179
2016-05-22,285.141119
2016-05-23,299.693369
2016-05-24,286.769362
2016-05-25,279.235051
2016-05-26,278.106707
2016-05-27,263.288391
2016-05-28,255.74468
2016-05-29,267.013358
2016-05-30,285.710639
2016-05-31,296.512746
2016-06-01,294.960291
2016-06-02,280.555037
2016-06-03,277.885657
2016-06-04,277.640046
2016-06-05,288.203108
2016-06-06,291.435633
2016-06-07,285.370772
2016-06-08,279.460994
2016-06-09,278.066605
2016-06-10,271.873949
2016-06-11,268.153389
2016-06-12,292.320982
2016-06-13,300.554451
2016-06-14,295.49847
2016-06-15,291.110078
2016-06-16,279.319712
2016-06-17,265.692508
2016-06-18,262.121521
2016-06-19,274.139953
2016-06-20,294.885696
2016-06-21,286.765176
2016-06-22,280.922053
2016-06-23,283.084054
2016-06-24,273.171252
2016-06-25,269.655254
2016-06-26,274.074308
2016-06-27,287.383271
2016-06-28,293.224462
2016-06-29,287.318574
2016-06-30,284.919539
2016-07-01,278.539304
2016-07-02,263.780261
2016-07-03,269.670292
2016-07-04,287.008036
2016-07-05,288.716991
2016-07-06,294.31711
2016-07-07,277.77996
2016-07-08,259.449522
2016-07-09,264.74222
2016-07-10,284.542217
2016-07-11,289.368193
2016-07-12,286.603707
2016-07-13,275.00358
2016-07-14,270.313094
2016-07-15,263.881614
2016-07-16,261.979848
2016-07-17,268.093896
2016-07-18,280.404156
2016-07-19,282.429274
2016-07-20,292.991824
2016-07-21,306.587526
2016-07-22,311.051676
2016-07-23,305.499818
2016-07-24,319.530649
2016-07-25,329.881309
2016-07-26,337.267802
2016-07-27,328.790943
2016-07-28,325.162591
2016-07-29,322.73303
2016-07-30,316.203193
2016-07-31,321.219877
2016-08-01,332.73655
2016-08-02,323.190992
2016-08-03,306.43444
2016-08-04,296.70731
2016-08-05,297.56861
2016-08-06,310.393754
2016-08-07,317.85228
2016-08-08,341.344116
2016-08-09,325.592474
2016-08-10,326.466019
2016-08-11,320.306951
2016-08-12,311.379554
2016-08-13,309.450745
2016-08-14,317.17336
2016-08-15,333.059769
2016-08-16,311.183087
2016-08-17,276.748171
2016-08-18,279.82941
2016-08-19,282.441865
2016-08-20,285.877197
2016-08-21,310.732764
2016-08-22,310.493445
2016-08-23,314.282469
2016-08-24,298.236009
2016-08-25,299.722758
2016-08-26,293.096971
2016-08-27,292.16261
2016-08-28,296.352369
2016-08-29,316.610514
2016-08-30,312.374286
2016-08-31,311.862414
2016-09-01,307.751547
2016-09-02,299.11375
2016-09-03,301.475108
2016-09-04,302.680649
2016-09-05,314.968361
2016-09-06,311.511253
2016-09-07,298.80216
2016-09-08,296.375833
2016-09-09,281.806742
2016-09-10,293.693037
2016-09-11,295.615576
2016-09-12,299.950073
2016-09-13,304.246379
2016-09-14,300.333932
2016-09-15,306.372919
2016-09-16,282.583407
2016-09-17,283.505495
2016-09-18,294.678528
2016-09-19,313.522703
2016-09-20,300.276104
2016-09-21,293.859673
2016-09-22,305.020844
2016-09-23,286.974592
2016-09-24,277.538887
2016-09-25,289.243454
2016-09-26,309.692228
2016-09-27,292.756096
2016-09-28,297.762549
2016-09-29,290.296266
2016-09-30,275.852043
2016-10-01,281.004766
2016-10-02,288.024846
2016-10-03,302.955699
2016-10-04,302.143319
2016-10-05,316.531125
2016-10-06,297.594322
2016-10-07,275.406527
2016-10-08,282.093396
2016-10-09,295.832458
2016-10-10,302.132734
2016-10-11,293.358107
2016-10-12,299.905441
2016-10-13,303.238757
2016-10-14,289.536718
2016-10-15,301.456482
2016-10-16,304.355472
2016-10-17,316.854588
2016-10-18,309.848011
2016-10-19,306.024911
2016-10-20,300.65936
2016-10-21,288.191509
2016-10-22,286.814416
2016-10-23,294.803409
2016-10-24,307.835987
2016-10-25,301.641351
2016-10-26,295.192107
2016-10-27,290.109926
2016-10-28,276.22942
2016-10-29,276.717914
2016-10-30,290.086464
2016-10-31,304.540996
2016-11-01,304.16238
2016-11-02,309.991971
2016-11-03,310.1939
2016-11-04,296.850241
2016-11-05,298.44043
2016-11-06,309.671371
2016-11-07,322.003851
2016-11-08,314.668764
2016-11-09,319.181682
2016-11-10,317.533426
2016-11-11,299.722968
2016-11-12,304.516589
2016-11-13,320.449812
2016-11-14,334.242978
2016-11-15,319.264321
2016-11-16,320.731243
2016-11-17,312.248391
2016-11-18,300.828556
2016-11-19,293.894235
2016-11-20,304.306683
2016-11-21,322.021403
2016-11-22,311.639838
2016-11-23,298.470939
2016-11-24,285.953425
2016-11-25,281.117706
2016-11-26,305.011924
2016-11-27,312.239978
2016-11-28,323.810175
2016-11-29,323.928733
2016-11-30,315.476864
2016-12-01,302.905919
2016-12-02,293.523554
2016-12-03,300.150494
2016-12-04,312.273986
2016-12-05,323.181452
2016-12-06,319.508879
2016-12-07,313.134579
2016-12-08,312.049477
2016-12-09,298.311066
2016-12-10,295.956547
2016-12-11,298.175834
2016-12-12,314.966986
2016-12-13,303.699315
2016-12-14,299.950925
2016-12-15,288.211775
2016-12-16,278.684724
2016-12-17,280.859248
2016-12-18,299.581115
2016-12-19,314.171944
2016-12-20,303.339834
2016-12-21,294.952566
2016-12-22,287.317902
2016-12-23,270.495421
2016-12-24,285.248184
2016-12-25,277.675333
2016-12-26,304.05166
2016-12-27,323.975916
2016-12-28,316.691645
2016-12-29,323.811202
2016-12-30,300.064418
2016-12-31,294.172784
2017-01-01,313.899249
2017-01-02,342.445276
2017-01-03,328.45121
2017-01-04,319.421029
2017-01-05,323.265393
2017-01-06,309.547092
2017-01-07,322.272812
2017-01-08,334.474541
2017-01-09,339.857378
2017-01-10,325.241603
2017-01-11,310.366256
2017-01-12,309.23896
2017-01-13,307.243907
2017-01-14,313.300905
2017-01-15,327.877576
2017-01-16,335.703843
2017-01-17,327.105534
2017-01-18,321.178167
2017-01-19,323.226979
2017-01-20,315.381852
2017-01-21,317.64054
2017-01-22,339.147168
2017-01-23,344.629853
2017-01-24,326.699815
2017-01-25,321.519059
2017-01-26,328.212517
2017-01-27,306.663877
2017-01-28,316.349568
2017-01-29,327.6173
2017-01-30,339.322513
2017-01-31,323.33759
2017-02-01,317.257308
2017-02-02,309.810476
2017-02-03,301.955141
2017-02-04,307.58251
2017-02-05,324.352365
2017-02-06,337.914936
2017-02-07,325.777426
2017-02-08,318.85013
2017-02-09,314.239556
2017-02-10,299.472386
2017-02-11,305.87169
2017-02-12,329.288102
2017-02-13,338.119966
2017-02-14,312.885661
2017-02-15,317.431197
2017-02-16,317.485683
2017-02-17,300.530733
2017-02-18,309.700283
2017-02-19,322.269282
2017-02-20,340.002287
2017-02-21,328.659343
2017-02-22,323.454127
2017-02-23,312.012755
2017-02-24,298.734494
2017-02-25,310.715397
2017-02-26,333.700818
2017-02-27,350.090498
2017-02-28,329.654813
2017-03-01,318.117475
2017-03-02,317.752335
2017-03-03,301.010721
2017-03-04,299.088424
2017-03-05,313.917501
2017-03-06,323.495458
2017-03-07,324.484185
2017-03-08,317.200119
2017-03-09,318.242556
2017-03-10,305.576347
2017-03-11,306.951523
2017-03-12,327.825052
2017-03-13,322.859153
2017-03-14,322.884789
2017-03-15,318.522322
2017-03-16,309.674301
2017-03-17,305.794468
2017-03-18,317.129681
2017-03-19,320.244654
2017-03-20,327.108148
2017-03-21,333.723422
2017-03-22,323.796635
2017-03-23,313.664108
2017-03-24,295.620823
2017-03-25,296.582139
2017-03-26,305.796026
2017-03-27,310.906135
2017-03-28,313.065349
2017-03-29,310.2771
2017-03-30,302.376819
2017-03-31,292.306961
2017-04-01,290.560261
2017-04-02,298.239834
2017-04-03,316.934975
2017-04-04,316.271484
2017-04-05,311.110855
2017-04-06,335.352446
2017-04-07,333.393028
2017-04-08,301.349441
2017-04-09,337.329757
2017-04-10,349.059507
2017-04-11,344.030216
2017-04-12,356.816386
2017-04-13,340.606561
2017-04-14,306.119594
2017-04-15,322.42438
2017-04-16,324.700933
2017-04-17,348.871949
2017-04-18,335.282273
2017-04-19,335.48373
